cod_asia	link_pos	url
100010	1	http://www.francescoparisi.com
100018	1	http://www.danone.it
100047	1	http://www.simerimpianti.it
10006	1	http://www.carlomanzella.it
100082	1	http://www.oliofarchioni.com
1000821	1	http://www.renatocentonze.it
1000942	1	http://www.contadoroberto.it
100120	1	http://www.icomitaly.com
100134	1	http://www.pittarelloinformaticapadova.it
10014	1	http://www.cantinapaolini.com
100150	1	http://www.allchital.it
1001744	1	http://www.estintoricantalupo.it
100185	1	http://www.tessiturabrunetti.com
100190	1	http://www.allevatorisulcitani.it
100191	1	http://www.valecospa.it
100199	1	http://www.tv.it
100202	1	http://www.zanottietagliani.it
100217	1	http://www.fonderiazardo.it
100236	1	http://www.ilpagroup.com
10025	1	http://www.grunoleggio.net
1002515	1	http://www.dittagioia.it
100272	1	http://www.tacam.com
100280	1	http://www.bausano.com
1002814	1	http://www.cs-elettronica.it
100297	1	http://www.tecnoparco-vba.it/
1003050	1	http://www.canzian.org
100314	1	http://www.landirenzogroup.com
100334	1	http://www.rpbw.com
100344	1	http://www.fidema.com
100359	1	http://www.agenziaonda.it
100390	1	http://www.telecolor.it
100412	1	http://www.simec-srl.it
100418	1	http://www.elettroluce.eu
100421	1	http://www.novolegno.it
100429	1	http://www.companyreports.it
1004400	1	http://www.ferall.it
100443	1	http://www.codelfa.com
100446	1	http://www.lemonplus.it
1004554	1	http://www.saservices.com
100457	1	http://www.bitre.it
10047	1	http://www.fercam.com
100470	1	http://www.caprice-ingrosso.it
100485	1	http://www.blanghe.it
100494	1	http://www.caffarel.com
100545	1	http://www.italscavi.site
100588	1	http://www.bulltoce.com
10059	1	http://www.pollocastellano.it
100597	1	http://www.scponline.it
100617	1	http://www.dallai.it
100645	1	http://www.monettiorologi.com
1006568	1	http://www.caponioviaggi.it
100669	1	http://www.ilsam.it
100683	1	http://www.ilcart.it
1006838	1	http://www.nauticacaponio.it
100687	1	http://www.imefsrl.eu
100688	1	http://www.sipea.it
100695	1	http://www.floreanidesign.it
1007	1	http://www.fapweb.it
1007134	1	http://www.dilanda.it
100719	1	http://www.leane.it
100750	1	http://www.brugnago.com
100757	1	http://www.gsspa.it
100761	1	http://www.ediluboz.it
100768	1	http://www.brc.it
100777	1	http://www.retificioribola.it
100798	1	http://www.salov.com
10081	1	http://www.autovie.it
100831	1	http://www.cmiscaffalature.it
100850	1	http://www.tecnograin.com
100857	1	http://www.lacasanova.it
100858	1	http://www.rotas.com
1008679	1	http://www.coppolagru.it
100882	1	http://www.safet.it
100886	1	http://www.crea-srl.com
100891	1	http://www.tubitex.com
100892	1	http://www.egzerouno.com
100908	1	http://www.sogecostruzioni.it
100938	1	http://www.paolocastelli.com
100963	1	http://www.comecasrl.com
101011	1	http://www.icorcornici.it
101031	1	http://www.tennisalbinea.com
101036	1	http://www.cilvea.it
101045	1	http://www.errevi.it
101053	1	http://www.martelli.com
1010611	1	http://www.vinicoppi.it
101077	1	http://www.cristianspa.com
10108	1	http://www.previero.it
1010823	1	http://www.metalfer-polla.it
101093	1	http://www.trancerieemiliane.it
101106	1	http://www.stamet.com
101114	1	http://www.coges.it
101117	1	http://www.valvital.it
101121	1	http://www.gardellaelettronica.it
101125	1	http://www.comecsrl.com
101129	1	http://www.digitecinnovation.com
101130	1	http://www.erbifrutta.it
101137	1	http://www.egea.it
101148	1	http://www.ferribiella.it
1011485	1	http://www.ilmicrofono.it
1011531	1	http://www.colorificiocappelli.it
101158	1	http://www.faroldi.it
101174	1	http://www.nugorflor.it
101182	1	http://www.idealchef.it
101192	1	http://www.fatturatoaziendeitaliane.it
10120	1	http://www.ottani.it
101206	1	http://www.intercostruzioni.com
10121675	1	http://www.mygroupservice.it
101228	1	http://www.finor.it
101237	1	http://www.sellaleasing.it
10124	1	http://www.confcooperative.it
10124231	1	http://www.mazzei.it
10125	1	http://www.miele.it
101251	1	http://www.chaleteden.it
1012540	1	http://www.icaprini.it
101255	1	http://www.vincenzobona.com
10128	1	http://www.acef.it
101297	1	http://www.jagorovai.it
1013	1	http://www.utensileriaeferramenta.com
101312	1	http://www.sitland.com
101321	1	http://www.silog.it
101334	1	http://www.cna.it
101340	1	http://www.bressantessuti.it
101350	1	http://www.cusisrl.it
101356	1	http://www.molinospadoni.it
101358	1	http://www.hotelgrillo.net
101373	1	http://www.vescovoromano.it
101379	1	http://www.enotecalaloggia.it
101385	1	http://www.seit.it
101387	1	http://www.trecprefabbricati.com
